Viti Godina Year,"Muaji 
Mesec
Month","PERSHKRIMI I SEKTORIT
OPIS SEKTORA
SECTOR DESCRIPTION","Statusi i regjistrimit 
Status registracije Registration status",Komuna Opstina Municipality,"Nr Tatimp 
Poreski obveznik 
Number of Taxpayers","Nr Puns
Broj zaposlenih 
Number of  employees",Primar Primarna Primary,Sekondar Sekundarna Secondary,"Meshkuj
Muskarci 
Men (M).","Femra
Zenske
Women (F)","Pa Verif 
Neprovereno 
Unverified",M 15-24,F 15-24,M 25-34,F 25-34,M 35-44,F 35-44,M 45-54,F 45-54,M 55-64,F 55-64,M 65+,F 65+,"Mesat. Pages
Prosecna plata
Average Wage","Mesat. Meshk 
Prosecni M.
Average M.","Mesat. Fem.
Prosecni F. Average F."
2020,1,Arsimi,Individual,DEÇAN,3,15,13,2,7,8,0,0,0,2,1,1,5,2,0,2,2,0,0,157.63,131.5,180.48
2020,1,Arsimi,Ortakëria e përgj.,LIPJAN,1,212,191,21,53,116,43,3,12,25,50,13,28,5,20,6,6,1,0,442.49,475.69,362.98
2020,1,Arsimi,Projekt,PRISHTINË,1,6,3,3,2,4,0,0,0,0,1,2,0,0,3,0,0,0,0,1048.12,802.32,1171.03
2020,1,Arsimi,Ortakëria e përgj.,PRISHTINË,6,55,52,3,20,35,0,1,2,7,11,3,10,2,8,7,4,0,0,283.94,210.89,325.68
2020,1,Mungon aktiviteti,Organizata Buxhetore,PRISHTINË,9,781,378,403,497,282,2,22,32,98,93,69,41,54,39,32,19,222,58,1006.73,870.61,1247.29
2020,1,Industria nxjerrese,SH.P.K.,DEÇAN,3,8,6,2,7,1,0,0,0,2,0,2,0,2,1,1,0,0,0,308.23,305.38,328.15
2020,1,Industria nxjerrese,SH.P.K.,KLINË,5,141,136,5,128,12,1,23,3,51,4,26,4,22,1,6,0,0,0,407.99,420.83,275.84
2020,1,Industria nxjerrese,Shoqëri akcionare,OBILIQ,1,199,199,0,189,10,0,1,2,18,1,19,2,42,2,108,3,1,0,925.23,934.7,746.14
2020,1,Industria nxjerrese,Shoqëri akcionare,PRISHTINË,1,4,3,1,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2374.53,2472.4,133.55
2020,1,Industria perpunuese,SH.P.K.,PODUJEVË,45,386,378,8,275,110,1,42,20,72,25,76,40,55,19,29,6,1,0,298.7,314.1,261.49
2020,1,Industria perpunuese,SH.P.K.,SUHAREKË,57,1069,"1,031",38,785,280,4,112,53,222,65,139,79,150,50,159,33,3,0,366.54,388.2,292.72
2020,1,Industria perpunuese,Individual,GRAÇANICË,12,100,100,0,77,23,0,9,1,43,6,15,11,7,3,3,2,0,0,332.38,357.38,248.69
2020,1,Informimi dhe komunikimi,Ortakëria e përgj.,PRISHTINË,4,61,61,0,46,15,0,8,4,20,3,12,3,5,5,1,0,0,0,433.61,457.68,359.78
2020,1,Informimi dhe komunikimi,Organizata Buxhetore,PRISHTINË,3,967,764,203,612,345,10,13,17,147,110,238,137,98,48,111,32,5,1,771.18,779.83,748.19
2020,1,Transporti dhe magazinimi,SH.P.K.,LIPJAN,13,89,89,0,73,10,6,7,2,22,3,18,5,18,0,7,0,1,0,367.74,367.94,347
2020,1,Transporti dhe magazinimi,Individual,FERIZAJ,33,99,98,1,84,15,0,11,1,32,4,18,4,12,4,11,2,0,0,249.67,251.66,238.53
2020,1,Transporti dhe magazinimi,Individual,GJAKOVË,18,87,85,2,72,15,0,5,2,20,5,18,3,14,3,14,2,1,0,208.8,203.61,233.7
2020,1,Transporti dhe magazinimi,Shoqëri akcionare,MALISHEVË,1,8,8,0,8,0,0,0,0,0,0,1,0,4,0,3,0,0,0,436.25,436.25,
2020,1,Transporti dhe magazinimi,Ndërmarrje pub.,PRISHTINË,1,375,371,4,336,39,0,41,3,70,12,98,12,68,5,57,7,2,0,567.35,577.44,480.4
2020,1,Aktivitetet e patundshmerise,Individual,FERIZAJ,2,3,3,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,216.67,225,200
2020,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,MALISHEVË,7,22,22,0,19,3,0,6,0,7,2,4,0,2,1,0,0,0,0,210.72,212.93,196.67
2020,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,HANI I ELEZIT,3,9,9,0,7,2,0,4,0,0,0,1,2,1,0,1,0,0,0,208.74,190,274.34
2020,1,"Artet, Argetimi dhe rekreacioni",OJQ,SHTIME,2,5,5,0,5,0,0,1,0,1,0,1,0,1,0,1,0,0,0,385.37,385.37,
2020,1,"Artet, Argetimi dhe rekreacioni",SH.P.K.,PRIZREN,8,33,28,5,25,8,0,2,2,12,5,5,1,4,0,2,0,0,0,189.93,177.14,228.31
2020,1,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SHTIME,3,11,11,0,8,3,0,1,0,4,0,0,1,1,1,2,1,0,0,176.36,178.75,170
2020,1,Bujqesia;Pylltaria dhe Peshkimi,Individual,MALISHEVË,17,43,43,0,22,21,0,6,3,6,3,4,6,4,5,2,4,0,0,176.11,182.11,169.41
2020,1,Sherbimet administrative dhe mbeshtetese,Individual,GLLOGOC,5,13,13,0,5,8,0,0,2,4,3,0,0,1,3,0,0,0,0,233.38,224.06,239.2
2020,1,Sherbimet administrative dhe mbeshtetese,SH.P.K.,HANI I ELEZIT,1,19,19,0,18,1,0,2,0,7,1,8,0,1,0,0,0,0,0,441.28,434.75,558.83
2020,1,"Aktivitetet profesionale, shkencore dhe teknike",Ortakëria e përgj.,KLINË,1,5,5,0,5,0,0,2,0,0,0,0,0,1,0,2,0,0,0,328.15,328.15,
2020,1,"Aktivitetet profesionale, shkencore dhe teknike",Individual,KAMENICË,7,16,15,1,15,1,0,1,0,8,1,4,0,1,0,1,0,0,0,207.5,210,170
2020,1,"Aktivitetet profesionale, shkencore dhe teknike", Odat,PRISHTINË,1,6,2,4,6,0,0,0,0,1,0,1,0,2,0,2,0,0,0,452.36,452.36,
2020,1,"Aktivitetet profesionale, shkencore dhe teknike",Individual,FUSHË KOSOVË,9,23,22,1,14,9,0,2,2,5,2,5,3,2,2,0,0,0,0,272.86,281.68,259.14
2020,1,Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,KLINË,3,23,14,9,12,11,0,0,2,4,4,4,2,1,3,3,0,0,0,199.6,200.89,198.18
