Viti Godina Year,"Muaji 
Mesec
Month","PERSHKRIMI I SEKTORIT
OPIS SEKTORA
SECTOR DESCRIPTION","Statusi i regjistrimit 
Status registracije Registration status",Komuna Opstina Municipality,"Nr Tatimp 
Poreski obveznik 
Number of Taxpayers","Nr Puns
Broj zaposlenih 
Number of  employees",Primar Primarna Primary,Sekondar Sekundarna Secondary,"Meshkuj
Muskarci 
Men (M).","Femra
Zenske
Women (F)","Pa Verif 
Neprovereno 
Unverified",M 15-24,F 15-24,M 25-34,F 25-34,M 35-44,F 35-44,M 45-54,F 45-54,M 55-64,F 55-64,M 65+,F 65+,"Mesat. Pages
Prosecna plata
Average Wage","Mesat. Meshk 
Prosecni M.
Average M.","Mesat. Fem.
Prosecni F. Average F."
2021,1,Arsimi,SH.P.K.,PEJË,18,189,151,38,62,125,2,3,28,16,42,13,22,10,22,19,10,1,1,411.65,397.95,410.27
2021,1,Arsimi,Individual,GJAKOVË,18,88,82,6,28,60,0,3,7,7,21,4,13,4,15,10,4,0,0,172.09,172.01,172.12
2021,1,Arsimi,Individual,PODUJEVË,12,45,40,5,20,25,0,0,4,8,12,3,3,7,5,2,1,0,0,183.42,197.7,172
2021,1,Ndertimtaria,SH.P.K.,PEJË,68,435,407,28,354,81,0,61,11,111,25,83,18,61,19,35,8,3,0,367.06,369.47,356.44
2021,1,Ndertimtaria,Shoqëri akcionare,VUSHTRRI,1,15,13,2,5,10,0,1,0,1,5,2,2,0,2,1,1,0,0,416.04,474.25,386.94
2021,1,Person Fizik,Person fizik,JUNIK,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,460.2,,460.2
2021,1,Mungon aktiviteti, Bashkësi Fetare,GJILAN,1,63,60,3,60,3,0,4,0,8,0,28,0,11,3,7,0,2,0,433.21,440.2,293.33
2021,1,Mungon aktiviteti,Parti Politike,PRIZREN,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,250,250,
2021,1,Mungon aktiviteti, Bashkësi Fetare,MITROVICË,1,53,50,3,48,4,1,7,0,7,1,21,2,6,1,5,0,2,0,413.62,433.17,245
2021,1,Industria nxjerrese,SH.P.K.,LIPJAN,2,14,12,2,13,0,1,0,0,3,0,4,0,3,0,3,0,0,0,330.81,337.02,
2021,1,Industria nxjerrese,Ndërmarrje nën menaxhim të AKP-së,GJAKOVË,1,5,5,0,3,2,0,0,0,0,0,0,0,1,1,1,0,1,1,285.62,270.94,307.65
2021,1,Industria perpunuese,Shoqëri akcionare,PEJË,1,300,276,24,271,29,0,39,1,44,9,66,10,48,4,70,5,4,0,844.18,852.71,764.4
2021,1,Industria perpunuese,Shoqëri akcionare,ISTOG,2,20,19,1,17,3,0,8,0,7,0,1,1,0,2,1,0,0,0,666,708.88,423.04
2021,1,Industria perpunuese,Individual,SHTËRPCË,5,10,10,0,6,4,0,0,0,3,3,3,0,0,1,0,0,0,0,170.9,183.33,152.25
2021,1,Industria perpunuese,Individual,GRAÇANICË,15,115,113,2,84,31,0,15,6,32,8,24,12,8,3,4,2,1,0,350.05,390.13,241.44
2021,1,Industria perpunuese,SH.P.K.,MITROVICË,44,556,546,10,356,199,1,73,57,121,40,90,41,50,47,21,14,1,0,312.6,338.51,266.81
2021,1,Industria perpunuese,Shoqëri akcionare,PRISHTINË,1,18,18,0,17,1,0,3,0,6,1,7,0,1,0,0,0,0,0,692.44,713.87,328.15
2021,1,Industria perpunuese,SH.P.K.,MITROVICË VERIORE,4,17,14,3,13,4,0,1,0,3,0,5,3,4,1,0,0,0,0,206.11,196.77,236.47
2021,1,Informimi dhe komunikimi,Individual,GJILAN,10,14,11,3,10,4,0,1,0,3,1,4,1,2,2,0,0,0,0,179.62,189.44,157.5
2021,1,Informimi dhe komunikimi,Ortakëria e përgj.,GJAKOVË,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,220,220,
2021,1,Informimi dhe komunikimi,Individual,GLLOGOC,4,9,9,0,9,0,0,6,0,2,0,1,0,0,0,0,0,0,0,276.67,276.67,
2021,1,Informimi dhe komunikimi,Individual,RAHOVEC,6,22,22,0,17,5,0,6,1,6,2,3,1,2,1,0,0,0,0,281.87,299.41,222.21
2021,1,Informimi dhe komunikimi,Ortakëria e përgj.,MALISHEVË,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170,170,
2021,1,Transporti dhe magazinimi,SH.P.K.,VITI,3,13,11,2,8,4,1,0,1,4,1,1,0,2,1,1,1,0,0,277.78,289.47,223.84
2021,1,Transporti dhe magazinimi,Shoqëri akcionare,PRISHTINË,5,1178,"1,152",26,903,271,4,29,4,133,51,239,86,275,73,224,56,3,1,677.45,654.35,723.07
