Viti Godina Year,"Muaji 
Mesec
Month","PERSHKRIMI I SEKTORIT
OPIS SEKTORA
SECTOR DESCRIPTION","Statusi i regjistrimit 
Status registracije Registration status",Komuna Opstina Municipality,"Nr Tatimp 
Poreski obveznik 
Number of Taxpayers","Nr Puns
Broj zaposlenih 
Number of  employees",Primar Primarna Primary,Sekondar Sekundarna Secondary,"Meshkuj
Muskarci 
Men (M).","Femra
Zenske
Women (F)","Pa Verif 
Neprovereno 
Unverified",M 15-24,F 15-24,M 25-34,F 25-34,M 35-44,F 35-44,M 45-54,F 45-54,M 55-64,F 55-64,M 65+,F 65+,"Mesat. Pages
Prosecna plata
Average Wage","Mesat. Meshk 
Prosecni M.
Average M.","Mesat. Fem.
Prosecni F. Average F."
2022,1,Arsimi,SH.P.K.,OBILIQ,1,170,168,2,39,123,8,4,17,11,48,6,35,12,19,5,4,1,0,697.3,650.99,618.63
2022,1,Arsimi,SH.P.K.,GLLOGOC,3,12,10,2,5,7,0,0,1,1,4,2,2,2,0,0,0,0,0,164.17,140,181.43
2022,1,Arsimi,SH.P.K.,LEPOSAVIQ,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,200,200,
2022,1,Arsimi,Ortakëria e përgj.,PRISHTINË,4,24,24,0,9,15,0,0,0,1,4,1,5,1,4,6,2,0,0,229.82,223.98,233.32
2022,1,Ndertimtaria,SH.P.K.,PEJË,86,504,477,27,409,95,0,68,11,131,35,86,24,81,17,40,8,3,0,401.28,406.33,379.69
2022,1,Ndertimtaria,Ndërmarrje shoq.,PEJË,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,250,250,
2022,1,Ndertimtaria,SH.P.K.,KLINË,31,203,195,8,175,28,0,40,3,67,8,39,8,24,6,5,3,0,0,346.49,341.14,379.74
2022,1,Ndertimtaria,Kompani e huaj,OBILIQ,1,5,3,2,2,1,2,0,0,0,0,1,0,1,1,0,0,0,0,316.61,400.3,215.79
2022,1,Ndertimtaria,Individual,PRIZREN,86,399,391,8,336,63,0,82,5,94,24,81,10,49,18,29,6,1,0,271.01,275.18,248.82
2022,1,Ndertimtaria,SH.P.K.,PODUJEVË,59,333,329,4,305,28,0,43,1,108,15,91,8,42,2,19,2,2,0,312.67,313.64,302.51
2022,1,Ndertimtaria,Individual,SKENDERAJ,22,106,96,10,83,23,0,14,3,27,8,24,7,8,3,9,2,1,0,290.75,299.95,259.17
2022,1,Person Fizik,Person fizik,PODUJEVË,24,166,163,3,123,43,0,20,6,34,7,42,17,14,9,13,4,0,0,392.58,420.23,311.63
2022,1,Person Fizik,Person fizik,SUHAREKË,16,88,83,5,50,38,0,9,6,19,15,13,8,6,6,3,3,0,0,371.73,423.12,304.12
2022,1,Mungon aktiviteti,OJQ,PEJË,22,151,126,25,71,80,0,14,21,26,15,12,13,6,18,8,11,5,2,480.45,575.7,395.91
2022,1,Mungon aktiviteti, Bashkësi Fetare,VITI,1,45,26,19,45,0,0,4,0,9,0,15,0,5,0,9,0,3,0,288.97,288.97,
2022,1,Mungon aktiviteti,OJQ,DEÇAN,4,8,5,3,2,6,0,0,0,0,1,0,1,1,4,1,0,0,0,286.25,225,306.67
2022,1,Mungon aktiviteti,OJQ,ZVEÇAN,2,12,11,1,2,9,1,0,2,1,2,1,3,0,1,0,0,0,1,345.51,423.78,318.59
2022,1,Mungon aktiviteti,OJQ,PODUJEVË,1,3,3,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,103.03,72.73,118.19
2022,1,Industria nxjerrese,SH.P.K.,NOVOBËRDË,1,3,1,2,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,186.99,200,180.49
2022,1,Industria perpunuese,Individual,ISTOG,53,179,176,3,136,43,0,22,4,45,13,43,10,15,14,10,2,1,0,228.04,238.48,197.53
2022,1,Industria perpunuese,SH.P.K.,OBILIQ,37,611,599,12,437,172,2,64,38,154,42,123,56,70,32,23,3,3,1,483.34,528.36,367.42
2022,1,Industria perpunuese,Kompani e huaj,FERIZAJ,1,43,43,0,21,22,0,13,16,5,5,1,1,2,0,0,0,0,0,443.94,560.69,332.5
2022,1,Industria perpunuese,SH.P.K.,PRIZREN,181,2977,"2,910",67,1959,996,22,360,198,567,286,461,256,341,201,212,53,18,2,390.41,427.01,316.14
2022,1,Industria perpunuese,Shoqëri akcionare,MITROVICË,2,110,110,0,104,6,0,16,0,34,4,16,0,22,1,13,1,3,0,466.56,464.18,507.88
2022,1,Industria perpunuese,Kompani e huaj,PRISHTINË,6,14,12,2,7,4,3,2,2,0,1,2,1,2,0,1,0,0,0,591.5,346.88,323.1
2022,1,Industria perpunuese,Shoqëri akcionare,PRISHTINË,2,77,77,0,37,40,0,4,0,15,2,11,8,5,14,2,16,0,0,471.33,539.29,408.47
2022,1,Informimi dhe komunikimi,Ortakëria e përgj.,PEJË,1,4,4,0,2,2,0,0,0,0,1,0,0,1,1,1,0,0,0,175,175,175
2022,1,Informimi dhe komunikimi,Individual,DEÇAN,3,10,10,0,3,7,0,1,2,1,2,0,1,0,1,1,1,0,0,259,433.33,184.29
2022,1,Informimi dhe komunikimi,SH.P.K.,KLINË,1,4,4,0,2,2,0,0,1,2,1,0,0,0,0,0,0,0,0,170,170,170
2022,1,Transporti dhe magazinimi,Individual,DRAGASH,5,33,32,1,27,6,0,1,0,14,4,5,1,3,0,4,1,0,0,203.94,208.52,183.33
2022,1,Transporti dhe magazinimi,SH.P.K.,MALISHEVË,4,9,9,0,8,1,0,3,0,3,1,0,0,2,0,0,0,0,0,300,300,
2022,1,Transporti dhe magazinimi,SH.P.K.,HANI I ELEZIT,19,75,71,4,64,7,4,4,1,21,4,12,1,13,1,14,0,0,0,475.97,484.06,407.5
2022,1,Aktivitetet e tjera sherbyese,SH.P.K.,PEJË,15,45,43,2,30,15,0,3,4,16,6,7,4,3,1,1,0,0,0,451.81,519.96,315.52
2022,1,Aktivitetet e tjera sherbyese, Bashkësi Fetare,GLLOGOC,1,5,5,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,350.62,350.62,
2022,1,Aktivitetet e tjera sherbyese,Individual,PRIZREN,146,260,254,6,134,124,2,23,25,38,38,33,35,26,20,12,6,2,0,218.52,214.26,221.67
2022,1,Aktivitetet e tjera sherbyese,Parti Politike,PRIZREN,3,22,19,3,15,7,0,0,2,3,4,7,1,1,0,2,0,2,0,223.48,225.41,219.34
2022,1,Aktivitetet e tjera sherbyese,Individual,RANILLUG,1,2,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,170,,170
2022,1,Aktivitetet e tjera sherbyese,Individual,MITROVICË VERIORE,1,3,3,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,182.89,,182.89
2022,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,PRIZREN,103,885,850,35,634,240,11,182,48,224,62,124,57,80,56,21,17,3,0,338.95,345.47,312.96
2022,1,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRISHTINË,8,61,61,0,47,14,0,20,2,20,5,5,6,2,1,0,0,0,0,294.36,299.65,276.57
2022,1,Akomodimi dhe sherbimi ushqimor,Individual,FUSHË KOSOVË,53,169,167,2,131,33,5,51,2,50,7,16,14,8,6,5,4,1,0,232.66,238.01,216.52
2022,1,Akomodimi dhe sherbimi ushqimor,Individual,HANI I ELEZIT,11,22,22,0,19,2,1,4,0,7,0,4,1,3,1,1,0,0,0,177.27,174.21,195
2022,1,"Artet, Argetimi dhe rekreacioni",Individual,GJILAN,5,6,6,0,4,2,0,0,0,2,1,1,0,1,1,0,0,0,0,180,177.5,185
2022,1,"Artet, Argetimi dhe rekreacioni",Individual,PRIZREN,12,31,30,1,22,9,0,5,2,6,3,2,3,6,1,3,0,0,0,254.21,239.12,291.08
2022,1,"Artet, Argetimi dhe rekreacioni",SH.P.K.,VUSHTRRI,2,4,4,0,4,0,0,0,0,2,0,1,0,0,0,1,0,0,0,172.5,172.5,
