Sector Description,Registration Status,Municipality,Average Wage Men,Average Wage Women
Aktivitetet e patundshmerise,Individual,PEJË,200.0,170.0
Industria nxjerrese,SH.P.K.,MALISHEVË,326.8,273.33
Ndertimtaria,Individual,PRIZREN,305.74,260.5
Arsimi,SH.P.K.,DEÇAN,100.0,265.0
Industria perpunuese,Shoqëri akcionare,PEJË,578.51,617.53
Akomodimi dhe sherbimi ushqimor,Individual,OBILIQ,239.46,221.99
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PRISHTINË,439.71,244.01
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,VITI,270.0,200.0
Informimi dhe komunikimi,SH.P.K.,ZVEÇAN,426.89,385.35
Sherbimet administrative dhe mbeshtetese,Individual,PRIZREN,241.7,218.46
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,JUNIK,379.0,393.48
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PARTESH,80.0,115.0
Mungon aktiviteti,OJQ,GJAKOVË,376.2,579.99
"Aktivitetet profesionale, shkencore dhe teknike",Individual,KAÇANIK,246.36,210.0
Aktivitetet e tjera sherbyese,Individual,FERIZAJ,180.83,190.76
Transporti dhe magazinimi,Individual,PODUJEVË,228.92,228.22
Akomodimi dhe sherbimi ushqimor,SH.P.K.,ISTOG,219.98,258.99
Transporti dhe magazinimi,Individual,PEJË,251.2,271.26
Transporti dhe magazinimi,Individual,NOVOBËRDË,233.33,300.0
Aktivitetet e tjera sherbyese,Individual,GJAKOVË,172.86,177.01
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,KAMENICË,174.29,181.43
Arsimi,Individual,OBILIQ,200.0,200.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,LIPJAN,244.97,213.1
Sherbimet administrative dhe mbeshtetese,Kompani e huaj,GLLOGOC,333.87,268.78
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PRIZREN,342.16,291.39
Aktivitetet financiare dhe te sigurimit,Individual,SHTIME,325.0,227.27
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PRISHTINË,448.66,335.36
Person Fizik,Person fizik,PODUJEVË,318.25,331.26
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,GJAKOVË,555.23,564.06
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,DEÇAN,548.02,504.23
Industria perpunuese,Individual,DEÇAN,270.6,216.97
Akomodimi dhe sherbimi ushqimor,SH.P.K.,MALISHEVË,259.75,240.78
Ndertimtaria,Individual,PEJË,264.09,246.77
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Ndërmarrje pub.,PRISHTINË,692.67,600.53
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,LIPJAN,300.0,250.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SHTIME,236.67,186.67
Arsimi,SH.P.K.,MALISHEVË,210.81,193.92
Transporti dhe magazinimi,SH.P.K.,DEÇAN,244.62,273.94
Industria perpunuese,Shoqëri akcionare,KAMENICË,283.82,251.3
Sherbimet administrative dhe mbeshtetese,Individual,LIPJAN,247.5,231.95
Transporti dhe magazinimi,SH.P.K.,SKENDERAJ,223.87,430.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PODUJEVË,255.96,204.1
Aktivitetet e trupave dhe organizatave nderkombetare,Agjension i Huaj Qeveritar,PEJË,730.07,664.66
Bujqesia;Pylltaria dhe Peshkimi,Shoqëri akcionare,PRISHTINË,525.44,577.56
"Artet, Argetimi dhe rekreacioni",Individual,GJAKOVË,262.47,271.33
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJILAN,251.27,229.08
Aktivitetet e tjera sherbyese,Individual,MALISHEVË,187.14,175.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,RAHOVEC,258.48,253.33
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SUHAREKË,286.24,277.27
Aktivitetet e tjera sherbyese,Individual,PODUJEVË,192.16,196.11
Industria nxjerrese,SH.P.K.,FERIZAJ,371.89,311.1
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Kompani e huaj,FUSHË KOSOVË,441.7,270.67
Transporti dhe magazinimi,Individual,KAMENICË,173.53,186.67
Industria nxjerrese,SH.P.K.,SKENDERAJ,549.06,395.97
Akomodimi dhe sherbimi ushqimor,SH.P.K.,GRAÇANICË,471.34,398.87
Transporti dhe magazinimi,SH.P.K.,LIPJAN,365.52,312.03
Informimi dhe komunikimi,Kompani e huaj,PRIZREN,796.02,250.0
Aktivitetet e tjera sherbyese,Individual,PRIZREN,215.63,222.09
Transporti dhe magazinimi,Individual,PRIZREN,243.29,214.53
Sherbimet administrative dhe mbeshtetese,Individual,PRIZREN,247.52,280.13
Sherbimet administrative dhe mbeshtetese,Individual,MITROVICË,317.31,267.99
Transporti dhe magazinimi,Individual,SUHAREKË,262.41,238.44
"Aktivitetet profesionale, shkencore dhe teknike",Individual,RAHOVEC,231.73,236.19
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,FERIZAJ,224.05,189.98
Arsimi,Individual,PARTESH,130.0,170.0
Person Fizik,Person fizik,FUSHË KOSOVË,497.94,526.35
"Aktivitetet profesionale, shkencore dhe teknike", Odat,PRISHTINË,384.97,167.64
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJAKOVË,250.0,336.25
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,FERIZAJ,403.35,290.07
Mungon aktiviteti,OJQ,MITROVICË,446.05,450.89
Informimi dhe komunikimi,Ortakëria e përgj.,MALISHEVË,170.0,170.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KAMENICË,208.31,201.36
Arsimi,SH.P.K.,VUSHTRRI,163.33,175.36
Bujqesia;Pylltaria dhe Peshkimi,Individual,SHTËRPCË,170.0,335.0
Ndertimtaria,Individual,DEÇAN,226.96,260.89
Aktivitetet e tjera sherbyese, Bashkësi Fetare,RAHOVEC,576.27,120.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SHTIME,259.07,218.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,DRAGASH,200.56,170.0
Transporti dhe magazinimi,SH.P.K.,JUNIK,182.0,170.0
Industria perpunuese,Individual,PARTESH,193.57,210.0
Informimi dhe komunikimi,SH.P.K.,PODUJEVË,228.91,165.0
Ndertimtaria,Ortakëria e përgj.,VITI,176.92,250.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,FERIZAJ,364.6,285.81
Transporti dhe magazinimi,Individual,JUNIK,170.0,170.0
Ndertimtaria,SH.P.K.,PODUJEVË,297.1,308.81
Akomodimi dhe sherbimi ushqimor,SH.P.K.,VITI,221.25,290.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,DRAGASH,281.0,283.99
Transporti dhe magazinimi,Individual,HANI I ELEZIT,517.92,200.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,LIPJAN,307.01,166.82
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,FERIZAJ,483.56,272.71
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GJAKOVË,145.71,180.0
Person Fizik,Person fizik,PARTESH,262.03,293.05
Sherbimet administrative dhe mbeshtetese,SH.P.K.,PRIZREN,348.76,333.8
"Aktivitetet profesionale, shkencore dhe teknike",Individual,FERIZAJ,254.55,282.58
Industria perpunuese,Ortakëria e përgj.,PODUJEVË,200.0,200.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,SUHAREKË,558.83,443.18
Akomodimi dhe sherbimi ushqimor,Individual,ZUBIN POTOK,150.0,150.0
Person Fizik,Person fizik,GLLOGOC,303.33,255.13
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PEJË,444.08,335.36
"Aktivitetet profesionale, shkencore dhe teknike", Odat,PRISHTINË,341.46,67.25
Akomodimi dhe sherbimi ushqimor,Individual,PEJË,210.9,208.21
Ndertimtaria,SH.P.K.,DEÇAN,490.57,414.08
Sherbimet administrative dhe mbeshtetese,SH.P.K.,KAÇANIK,198.33,223.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,VUSHTRRI,200.0,200.0
Akomodimi dhe sherbimi ushqimor,Individual,MALISHEVË,208.85,210.33
Sherbimet administrative dhe mbeshtetese,SH.P.K.,GRAÇANICË,271.43,306.92
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,PODUJEVË,338.44,353.48
Sherbimet administrative dhe mbeshtetese,SH.P.K.,DRAGASH,433.33,414.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,SHTIME,350.64,324.84
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SHTIME,175.0,166.67
"Aktivitetet profesionale, shkencore dhe teknike",Individual,ISTOG,199.47,211.11
Arsimi,Individual,LIPJAN,224.31,282.47
Akomodimi dhe sherbimi ushqimor,Individual,OBILIQ,254.81,245.83
Akomodimi dhe sherbimi ushqimor,SH.P.K.,DEÇAN,198.45,181.41
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KLINË,285.62,279.7
Ndertimtaria,Individual,ISTOG,277.35,263.8
Informimi dhe komunikimi,Individual,KAÇANIK,213.33,300.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GJILAN,401.91,448.89
Industria perpunuese,SH.P.K.,MALISHEVË,322.13,232.25
Ndertimtaria,Individual,FERIZAJ,304.6,273.66
Informimi dhe komunikimi,SH.P.K.,ZVEÇAN,408.48,233.99
"Artet, Argetimi dhe rekreacioni",SH.P.K.,GJILAN,604.38,259.0
Akomodimi dhe sherbimi ushqimor,Individual,MALISHEVË,209.68,196.18
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,GRAÇANICË,300.0,386.87
Akomodimi dhe sherbimi ushqimor,Individual,LIPJAN,204.39,220.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,LIPJAN,300.0,250.0
Ndertimtaria,Individual,DRAGASH,209.29,233.17
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,PRIZREN,737.3,310.39
"Aktivitetet profesionale, shkencore dhe teknike",Individual,KLINË,214.05,304.17
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GJILAN,371.1,279.53
Transporti dhe magazinimi,SH.P.K.,FERIZAJ,315.44,259.73
Industria perpunuese,SH.P.K.,MALISHEVË,307.99,234.45
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,FUSHË KOSOVË,593.65,394.67
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,PEJË,275.39,254.07
"Artet, Argetimi dhe rekreacioni",Tjeter,PRIZREN,322.5,295.0
Informimi dhe komunikimi,SH.P.K.,MITROVICË,730.65,550.74
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,GJAKOVË,600.73,583.16
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,RAHOVEC,226.06,240.8
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,FUSHË KOSOVË,252.54,245.2
Akomodimi dhe sherbimi ushqimor,SH.P.K.,MAMUSHË,295.0,300.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,ISTOG,252.83,232.45
Mungon aktiviteti,OJQ,VUSHTRRI,472.45,302.98
Industria perpunuese,SH.P.K.,KAMENICË,446.14,277.17
Arsimi,Ortakëria e përgj.,LIPJAN,513.03,373.98
Transporti dhe magazinimi,Individual,JUNIK,170.0,170.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,DEÇAN,257.5,234.91
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,GLLOGOC,254.54,370.33
Mungon aktiviteti,OJQ,MALISHEVË,269.17,380.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,DEÇAN,283.36,305.77
Arsimi,SH.P.K.,PEJË,478.63,436.89
"Artet, Argetimi dhe rekreacioni",SH.P.K.,FERIZAJ,235.69,261.77
Mungon aktiviteti,SH.P.K.,GRAÇANICË,414.58,290.01
Industria nxjerrese,Individual,DEÇAN,200.0,200.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PEJË,170.0,180.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Parti Politike,PRISHTINË,488.58,459.99
Mungon aktiviteti,OJQ,GRAÇANICË,429.65,373.67
Mungon aktiviteti,Parti Politike,MITROVICË VERIORE,560.68,566.57
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,PRIZREN,300.0,200.0
Ndertimtaria,SH.P.K.,KAÇANIK,278.57,232.97
Aktivitetet e shendetit te njeriut dhe te punes sociale,Ortakëria e përgj.,PEJË,239.77,323.89
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PARTESH,194.55,171.82
Bujqesia;Pylltaria dhe Peshkimi,Individual,GJILAN,250.0,161.11
Sherbimet administrative dhe mbeshtetese,Individual,SKENDERAJ,196.48,165.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,ISTOG,340.18,256.65
Industria perpunuese,Shoqëri akcionare,MITROVICË,428.95,344.73
Person Fizik,Person fizik,KLLOKOT,175.0,200.0
Transporti dhe magazinimi,Individual,RAHOVEC,204.57,100.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,MITROVICË,223.76,175.71
Ndertimtaria,SH.P.K.,ISTOG,485.59,368.49
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Kompani e huaj,VUSHTRRI,816.17,635.0
Transporti dhe magazinimi,Individual,DRAGASH,209.68,250.0
Arsimi,Individual,KAÇANIK,157.27,236.25
Industria nxjerrese,SH.P.K.,FERIZAJ,218.0,273.75
Ndertimtaria,Individual,PEJË,259.86,251.63
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRISHTINË,303.38,271.72
Person Fizik,Person fizik,SHTIME,250.0,283.33
Mungon aktiviteti,OJQ,RANILLUG,258.73,238.09
Industria perpunuese,Individual,MITROVICË VERIORE,182.0,158.57
"Artet, Argetimi dhe rekreacioni",OJQ,PRISHTINË,495.07,334.08
Aktivitetet e tjera sherbyese,SH.P.K.,LIPJAN,169.38,186.0
Informimi dhe komunikimi,SH.P.K.,VITI,303.75,433.33
Person Fizik,Person fizik,FUSHË KOSOVË,486.92,431.27
Aktivitetet e tjera sherbyese, Bashkësi Fetare,HANI I ELEZIT,487.82,364.81
Sherbimet administrative dhe mbeshtetese,Individual,RAHOVEC,170.0,177.5
Mungon aktiviteti,OJQ,DRAGASH,326.0,80.5
Transporti dhe magazinimi,SH.P.K.,MITROVICË VERIORE,279.9,558.83
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,ISTOG,375.0,285.2
Person Fizik,Person fizik,FUSHË KOSOVË,400.6,378.04
Aktivitetet e tjera sherbyese,OJQ,MITROVICË VERIORE,568.71,601.59
Person Fizik,Person fizik,SHTËRPCË,148.75,200.0
Arsimi,SH.P.K.,MITROVICË,199.71,223.43
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,MITROVICË VERIORE,170.0,256.67
"Artet, Argetimi dhe rekreacioni",OJQ,FERIZAJ,185.5,264.25
Bujqesia;Pylltaria dhe Peshkimi,Individual,FERIZAJ,229.04,225.38
Industria nxjerrese,SH.P.K.,KAÇANIK,737.54,504.29
Bujqesia;Pylltaria dhe Peshkimi,Kooperativa Bujq.,PRIZREN,275.71,170.0
Arsimi,Individual,SKENDERAJ,189.63,256.7
Sherbimet administrative dhe mbeshtetese,Individual,VUSHTRRI,193.25,194.43
Industria perpunuese,Individual,KLINË,218.96,238.48
"Aktivitetet profesionale, shkencore dhe teknike",Individual,GJILAN,266.68,243.54
Aktivitetet financiare dhe te sigurimit,SH.P.K.,FUSHË KOSOVË,300.0,200.0
Aktivitetet e tjera sherbyese, Bashkësi Fetare,DEÇAN,195.58,120.0
Aktivitetet financiare dhe te sigurimit,OJQ,GJAKOVË,476.96,386.71
Aktivitetet e shendetit te njeriut dhe te punes sociale,Organizata Buxhetore,PRIZREN,279.0,279.83
Industria perpunuese,Individual,KLINË,249.89,338.0
Industria perpunuese,Individual,DEÇAN,268.99,215.45
Bujqesia;Pylltaria dhe Peshkimi,Individual,FERIZAJ,214.14,223.18
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,MITROVICË,182.13,130.0
Aktivitetet financiare dhe te sigurimit,Individual,KLINË,396.28,350.0
Aktivitetet e tjera sherbyese,Individual,LIPJAN,174.13,181.88
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,DRAGASH,235.0,197.5
Transporti dhe magazinimi,Ndërmarrje shoq.,PRIZREN,473.61,415.64
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,SHTËRPCË,193.95,170.0
Transporti dhe magazinimi,Individual,GJAKOVË,208.14,231.7
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PARTESH,158.75,164.38
Bujqesia;Pylltaria dhe Peshkimi,Individual,KLINË,319.08,250.71
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,KLINË,166.0,185.2
Ndertimtaria,Individual,ZUBIN POTOK,278.0,192.5
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Kompani e huaj,FUSHË KOSOVË,238.55,290.61
Transporti dhe magazinimi,Individual,NOVOBËRDË,200.0,200.0
Mungon aktiviteti,OJQ,MITROVICË VERIORE,478.0,386.72
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",SH.P.K.,GLLOGOC,170.0,250.0
Mungon aktiviteti,OJQ,FERIZAJ,429.79,370.61
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,VUSHTRRI,562.41,310.38
Person Fizik,Person fizik,SHTIME,200.0,170.0
"Artet, Argetimi dhe rekreacioni",Individual,GJAKOVË,216.0,203.82
Industria perpunuese,Individual,KLLOKOT,235.0,170.0
Ndertimtaria,SH.P.K.,GRAÇANICË,817.39,546.03
Transporti dhe magazinimi,SH.P.K.,VUSHTRRI,183.24,236.67
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,VUSHTRRI,312.59,222.62
Aktivitetet e tjera sherbyese,OJQ,GLLOGOC,752.03,273.38
Aktivitetet e tjera sherbyese, Bashkësi Fetare,PEJË,429.4,240.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,RAHOVEC,330.0,330.0
Industria perpunuese,Shoqëri akcionare,PRIZREN,250.0,250.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,GRAÇANICË,317.54,304.88
Mungon aktiviteti,OJQ,MALISHEVË,350.0,650.0
Akomodimi dhe sherbimi ushqimor,Individual,PEJË,210.8,215.45
Akomodimi dhe sherbimi ushqimor,Individual,MITROVICË,202.5,130.0
Mungon aktiviteti,Organizata Buxhetore,PEJË,88.5,157.5
Bujqesia;Pylltaria dhe Peshkimi,Individual,FERIZAJ,176.67,185.0
Mungon aktiviteti,Kompani e huaj,PEJË,378.57,305.0
Person Fizik,Person fizik,VITI,200.75,179.15
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Shoqëri akcionare,GRAÇANICË,709.34,467.39
Industria perpunuese,SH.P.K.,MAMUSHË,699.05,384.49
Aktivitetet e patundshmerise,Individual,GJILAN,266.67,185.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ndërmarrje nën menaxhim të AKP-së,PRISHTINË,428.57,428.57
"Aktivitetet profesionale, shkencore dhe teknike",Ndërmarrje shoq.,PRISHTINË,466.67,314.29
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PEJË,374.3,364.57
Aktivitetet e patundshmerise,Shoqëri akcionare,GJILAN,332.95,272.5
Mungon aktiviteti,Kompani e huaj,PEJË,375.0,325.0
Bujqesia;Pylltaria dhe Peshkimi,Shoqëri akcionare,PRISHTINË,524.61,557.05
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GLLOGOC,292.58,240.11
Akomodimi dhe sherbimi ushqimor,Individual,SKENDERAJ,228.74,230.42
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SHTIME,236.67,186.67
Aktivitetet e tjera sherbyese,SH.P.K.,GJILAN,266.76,246.58
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",Shoqëri akcionare,MALISHEVË,250.0,250.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,ISTOG,330.92,248.55
Aktivitetet e tjera sherbyese,Individual,DEÇAN,209.05,185.71
Informimi dhe komunikimi,Individual,ISTOG,330.69,240.88
Industria nxjerrese,SH.P.K.,MALISHEVË,360.11,350.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,SUHAREKË,420.43,176.45
Informimi dhe komunikimi,Individual,MALISHEVË,271.65,170.0
Person Fizik,Person fizik,KLLOKOT,175.0,200.0
Aktivitetet financiare dhe te sigurimit,OJQ,KLINË,466.67,224.62
Sherbimet administrative dhe mbeshtetese,Ortakëria e përgj.,PRIZREN,200.0,200.0
Informimi dhe komunikimi,SH.P.K.,OBILIQ,372.63,246.67
Aktivitetet financiare dhe te sigurimit,Individual,FERIZAJ,208.57,250.96
Arsimi,Ndërmarrje shoq.,PRISHTINË,100.0,270.0
Industria perpunuese,Individual,KAÇANIK,198.42,208.33
Transporti dhe magazinimi,Individual,OBILIQ,225.38,246.67
Aktivitetet e tjera sherbyese,Ndërmarrje shoq.,PRISHTINË,318.78,314.29
Aktivitetet financiare dhe te sigurimit,Ndërmarrje nën menaxhim të AKP-së,GJAKOVË,458.03,481.78
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,GJILAN,603.29,585.79
Transporti dhe magazinimi,SH.P.K.,MITROVICË VERIORE,200.0,558.83
"Aktivitetet profesionale, shkencore dhe teknike",Individual,NOVOBËRDË,80.0,353.49
Aktivitetet financiare dhe te sigurimit,Individual,PEJË,185.0,328.15
Aktivitetet e tjera sherbyese,Organizata Buxhetore,PRISHTINË,576.7,544.38
"Artet, Argetimi dhe rekreacioni",Individual,GJAKOVË,216.0,203.82
Arsimi,Individual,PEJË,192.11,215.68
Informimi dhe komunikimi,Individual,LEPOSAVIQ,308.83,278.5
Sherbimet administrative dhe mbeshtetese,Individual,SHTIME,266.78,225.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Shoqëri akcionare,FERIZAJ,329.85,130.21
Aktivitetet e tjera sherbyese,OJQ,OBILIQ,398.0,300.0
Person Fizik,Person fizik,GJILAN,217.32,208.33
Aktivitetet e patundshmerise,Ndërmarrje shoq.,MITROVICË,428.57,428.57
Industria perpunuese,SH.P.K.,ZUBIN POTOK,170.0,162.5
"Aktivitetet profesionale, shkencore dhe teknike",Individual,MALISHEVË,253.18,203.87
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GRAÇANICË,328.14,531.21
Aktivitetet financiare dhe te sigurimit,Individual,MITROVICË,393.38,402.56
Industria nxjerrese,SH.P.K.,PEJË,292.06,224.39
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SUHAREKË,506.91,355.36
Industria perpunuese,Ortakëria e përgj.,FUSHË KOSOVË,237.17,182.89
Arsimi,SH.P.K.,MALISHEVË,221.34,194.79
Sherbimet administrative dhe mbeshtetese,Individual,PODUJEVË,249.55,229.65
Arsimi,SH.P.K.,SKENDERAJ,154.09,160.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,HANI I ELEZIT,300.0,200.0
Aktivitetet e tjera sherbyese,SH.P.K.,GLLOGOC,200.0,147.5
Aktivitetet e tjera sherbyese,OJQ,ISTOG,406.97,289.64
Transporti dhe magazinimi,Individual,JUNIK,170.0,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PEJË,242.21,213.3
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRISHTINË,450.46,495.34
Ndertimtaria,Individual,RAHOVEC,292.89,239.11
Mungon aktiviteti,Organizata Buxhetore,KAMENICË,524.67,498.75
Industria perpunuese,Kompani e huaj,FERIZAJ,585.93,397.14
Industria perpunuese,Individual,KAMENICË,241.33,240.44
Bujqesia;Pylltaria dhe Peshkimi,Individual,MALISHEVË,178.26,169.38
Person Fizik,Person fizik,PRIZREN,568.96,560.97
Akomodimi dhe sherbimi ushqimor,Individual,PODUJEVË,188.37,195.56
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GLLOGOC,304.99,262.45
Arsimi,Organizata Buxhetore,FERIZAJ,217.22,228.26
Sherbimet administrative dhe mbeshtetese,SH.P.K.,PODUJEVË,268.6,260.4
Aktivitetet e tjera sherbyese,Individual,FUSHË KOSOVË,233.78,195.36
Industria nxjerrese,Individual,PRISHTINË,383.33,400.0
Aktivitetet e tjera sherbyese,Agjension i Huaj Qeveritar,PRISHTINË,400.0,400.0
Industria nxjerrese,SH.P.K.,ISTOG,204.17,210.0
Industria nxjerrese,SH.P.K.,DEÇAN,343.28,258.61
Mungon aktiviteti,SH.P.K.,GRAÇANICË,472.09,328.15
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PODUJEVË,250.0,225.0
Arsimi,Individual,SUHAREKË,241.82,246.93
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KLINË,319.9,269.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Shoqëri akcionare,FUSHË KOSOVË,648.72,541.12
"Artet, Argetimi dhe rekreacioni",Individual,KLINË,259.73,170.0
Industria perpunuese,Individual,KAÇANIK,222.51,211.05
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,PEJË,360.98,286.82
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,OBILIQ,284.36,237.59
Industria nxjerrese,SH.P.K.,FERIZAJ,377.93,309.08
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,GLLOGOC,323.8,324.96
Arsimi,Individual,DEÇAN,178.6,223.75
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GJAKOVË,288.89,188.23
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,PEJË,449.69,329.28
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SUHAREKË,287.03,270.5
Aktivitetet e tjera sherbyese,OJQ,SHTËRPCË,215.0,277.5
"Aktivitetet profesionale, shkencore dhe teknike",Individual,PODUJEVË,222.5,227.78
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,FUSHË KOSOVË,81.4,84.6
