Viti Godina Year,"Muaji 
Mesec
Month","PERSHKRIMI I SEKTORIT
OPIS SEKTORA
SECTOR DESCRIPTION",,"Statusi i regjistrimit 
Status registracije Registration status",Komuna Opstina Municipality,"Nr Tatimp 
Poreski obveznik 
Number of Taxpayers","Nr Puns
Broj zaposlenih 
Number of  employees",Primar Primarna Primary,Sekondar Sekundarna Secondary,"Meshkuj
Muskarci 
Men (M).","Femra
Zenske
Women (F)","Pa Verif 
Neprovereno 
Unverified",M 15-24,F 15-24,M 25-34,F 25-34,M 35-44,F 35-44,M 45-54,F 45-54,M 55-64,F 55-64,M 65+,F 65+,"Mesat. Pages
Prosecna plata
Average Wage","Mesat. Meshk 
Prosecni M.
Average M.","Mesat. Fem.
Prosecni F. Average F."
2023,6,Akomodimi dhe sherbimi ushqimor,,SH.P.K.,PRIZREN,130,1124,"1,080",44,768,338,18,237,50,257,88,145,91,95,86,30,22,4,1,405.7,423.32,360.19
2023,6,Akomodimi dhe sherbimi ushqimor,,Individual,VUSHTRRI,50,179,178,1,114,63,2,27,10,41,14,25,21,9,15,11,3,1,0,257.17,236.47,292.21
2023,6,Akomodimi dhe sherbimi ushqimor,,Individual,MALISHEVË,41,103,102,1,71,32,0,22,6,33,9,11,11,5,5,0,1,0,0,223.35,228.15,212.68
2023,6,"Artet, Argetimi dhe rekreacioni",,Individual,OBILIQ,3,8,7,1,5,3,0,2,1,1,1,2,0,0,1,0,0,0,0,308.63,309.6,307
2023,6,Bujqesia;Pylltaria dhe Peshkimi,,SH.P.K.,ISTOG,42,320,312,8,219,101,0,35,12,73,28,54,21,36,30,15,9,6,1,431.5,453.17,384.51
2023,6,Bujqesia;Pylltaria dhe Peshkimi,,SH.P.K.,DRAGASH,2,6,6,0,3,3,0,0,0,0,0,1,2,2,1,0,0,0,0,205,213.33,196.67
2023,5,Sherbimet administrative dhe mbeshtetese,,Individual,RAHOVEC,5,12,12,0,4,8,0,1,3,1,3,0,0,1,1,1,1,0,0,296.73,287.5,302
2023,5,"Aktivitetet profesionale, shkencore dhe teknike",,Individual,KLINË,13,21,20,1,13,7,1,2,0,5,5,4,2,1,0,1,0,0,0,262.32,279.39,232.38
2023,5,"Aktivitetet profesionale, shkencore dhe teknike",,Individual,PRIZREN,97,230,219,11,118,112,0,25,17,34,52,17,15,20,15,20,13,2,0,315.77,322.47,308.78
2023,5,"Aktivitetet profesionale, shkencore dhe teknike",,SH.P.K.,GRAÇANICË,17,130,114,16,66,63,1,5,11,28,27,17,12,5,8,8,5,3,0,797.36,993.76,596.33
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,Ortakëria e përgj.,PEJË,4,15,14,1,2,13,0,1,3,0,5,0,3,0,2,1,0,0,0,341.23,227.78,358.68
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,SH.P.K.,KLINË,8,61,43,18,29,32,0,4,9,7,8,8,6,3,6,6,3,1,0,439.94,524.63,363.2
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,SH.P.K.,FERIZAJ,70,410,319,91,147,259,4,21,90,27,83,52,47,27,28,16,9,4,2,528.71,792.02,375.26
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,SH.P.K.,KAÇANIK,2,8,8,0,3,5,0,0,0,1,1,0,3,1,1,1,0,0,0,317.5,406.67,264
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,Individual,PODUJEVË,22,59,44,15,24,34,1,3,9,7,10,6,9,4,4,2,2,2,0,265.06,256.91,266.84
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,SH.P.K.,GRAÇANICË,13,360,280,80,145,201,14,3,38,33,75,41,48,33,26,21,7,14,7,1362.84,2345.34,629.82
2023,5,"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",,SH.P.K.,GJAKOVË,1,2,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,724.33,772.87,675.79
2023,5,"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",,SH.P.K.,PRIZREN,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,180,180,
2023,5,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,,Individual,PARTESH,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170,170,
2023,5,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,,SH.P.K.,SUHAREKË,1,5,5,0,2,3,0,0,0,1,3,0,0,0,0,1,0,0,0,400.47,560.45,293.82
2023,5,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,,Organizata Buxhetore,GRAÇANICË,1,7,7,0,5,2,0,0,0,1,0,1,2,3,0,0,0,0,0,364.29,374,340
2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,SH.P.K.,ISTOG,57,370,354,16,195,175,0,51,50,53,48,45,33,24,36,21,8,1,0,366.62,400.89,328.2
2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Ortakëria e përgj.,GRAÇANICË,1,3,3,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,264,264,
2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,SH.P.K.,FUSHË KOSOVË,387,3742,"3,646",96,2527,1183,32,495,321,785,397,643,251,385,154,198,54,21,6,524.57,555.12,457.34
2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Kompani e huaj,FUSHË KOSOVË,4,10,8,2,6,4,0,1,2,0,0,5,2,0,0,0,0,0,0,368.24,441.7,258.05
2023,5,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,,Individual,FERIZAJ,2,3,3,0,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,246.08,385.36,176.45
2023,5,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,,Shoqëri akcionare,GJAKOVË,3,520,512,8,439,81,0,11,2,53,28,107,16,108,14,154,19,6,2,641.63,637.48,664.35
2023,5,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,,SH.P.K.,SUHAREKË,1,4,3,1,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,167.5,167.5,
2023,6,Arsimi,,Individual,KAÇANIK,5,15,13,2,11,4,0,1,1,0,3,4,0,1,0,5,0,0,0,203.73,200.09,213.75
2023,6,Ndertimtaria,,Ndërmarrje shoq.,PEJË,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,420.37,420.37,
2023,6,Ndertimtaria,,Individual,GJILAN,60,169,167,2,153,14,2,25,4,46,1,30,4,35,4,17,1,0,0,337.38,340.53,326.93
2023,6,Ndertimtaria,,SH.P.K.,SUHAREKË,99,797,759,38,653,143,1,112,21,183,43,173,38,114,28,68,13,3,0,483.32,499.08,412.68
2023,6,Ndertimtaria,,SH.P.K.,SKENDERAJ,32,418,394,24,376,39,3,52,3,103,14,108,12,74,7,37,3,2,0,594.13,612.28,362.34
2023,6,Mungon aktiviteti,,Ndërmarrje shoq.,PARTESH,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,314.29,314.29,
2023,6,Mungon aktiviteti,,OJQ,KAMENICË,6,29,18,11,17,12,0,2,0,3,3,3,4,1,3,6,2,2,0,377.86,386.44,365.69
2023,6,Mungon aktiviteti,,OJQ,PODUJEVË,1,5,4,1,1,4,0,0,3,0,0,1,1,0,0,0,0,0,0,317.01,704.76,220.07
2023,6,Industria perpunuese,,Ortakëria e përgj.,PEJË,2,4,4,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,462.5,462.5,
2023,6,Industria perpunuese,,SH.P.K.,JUNIK,2,8,8,0,5,3,0,0,0,0,1,4,0,0,2,1,0,0,0,530.42,594.47,423.69
2023,6,Industria perpunuese,,Ortakëri e kufizuar,GJILAN,1,4,3,1,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,274.02,274.02,
2023,6,Industria perpunuese,,Individual,DRAGASH,67,187,187,0,145,42,0,35,9,38,14,37,7,22,11,13,1,0,0,268.44,266.9,273.83
2023,6,Industria perpunuese,,Kompani e huaj,FERIZAJ,1,92,92,0,43,49,0,24,26,13,15,4,7,2,1,0,0,0,0,473.45,559.41,398.02
2023,6,Industria perpunuese,,Individual,GLLOGOC,55,203,199,4,134,69,0,36,19,33,19,35,16,22,12,8,2,0,1,418.67,442.15,373.09
2023,6,Industria perpunuese,,Individual,PRIZREN,350,1221,"1,198",23,797,422,2,172,74,220,95,184,111,141,100,72,40,8,2,276.43,289.16,252.57
2023,6,Industria perpunuese,,Individual,PODUJEVË,85,281,274,7,218,63,0,53,17,63,10,49,20,42,12,10,4,1,0,245.9,252.35,223.32
2023,6,Industria perpunuese,,SH.P.K.,GRAÇANICË,52,1035,"1,009",26,679,346,10,154,73,212,100,176,78,99,78,37,17,1,0,653.57,724.55,497.98
2023,6,Industria perpunuese,,Individual,MITROVICË,89,418,416,2,287,126,5,63,34,84,28,64,19,56,31,20,14,0,0,286.96,304.52,247.32
2023,6,Industria perpunuese,,SH.P.K.,PRISHTINË,517,4196,"4,010",186,2761,1390,45,625,368,904,375,681,288,360,288,167,68,24,3,559.17,625.25,421.66
2023,6,Industria perpunuese,,Ortakëria e përgj.,PRISHTINË,9,54,53,1,32,22,0,3,5,8,8,14,5,3,4,2,0,2,0,389.12,449.86,300.76
2023,6,Informimi dhe komunikimi,,Individual,VITI,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,264,264,
2023,6,Informimi dhe komunikimi,,Individual,DEÇAN,3,10,10,0,4,6,0,0,0,3,2,0,1,0,2,1,1,0,0,342,562.5,195
2023,6,Informimi dhe komunikimi,,Individual,MAMUSHË,1,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,280,280,280
2023,6,Informimi dhe komunikimi,,Individual,KAMENICË,2,5,5,0,3,2,0,0,1,1,0,0,1,0,0,2,0,0,0,182,170,200
2023,6,Informimi dhe komunikimi,,Kompani e huaj,GRAÇANICË,1,6,6,0,4,2,0,2,1,2,1,0,0,0,0,0,0,0,0,861.09,748.89,1085.49
2023,6,Informimi dhe komunikimi,,Individual,SKENDERAJ,5,16,16,0,7,9,0,1,3,3,4,2,1,1,1,0,0,0,0,327.28,226.86,405.39
2023,6,Transporti dhe magazinimi,,Ndërmarrje shoq.,PRIZREN,1,33,33,0,23,10,0,0,0,6,1,4,0,3,2,10,7,0,0,595.72,613.36,555.15
2023,6,Transporti dhe magazinimi,,Individual,NOVOBËRDË,1,3,3,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,233.33,233.33,
2023,6,Aktivitetet e patundshmerise,,Individual,FERIZAJ,2,4,4,0,1,3,0,1,1,0,2,0,0,0,0,0,0,0,0,200,200,200
2023,6,Aktivitetet e tjera sherbyese,,SH.P.K.,VITI,3,11,11,0,10,1,0,6,0,3,0,1,1,0,0,0,0,0,0,304.73,309.2,260
2023,6,Aktivitetet e tjera sherbyese,,SH.P.K.,DEÇAN,1,7,6,1,3,4,0,0,0,1,3,2,1,0,0,0,0,0,0,605.41,686.28,544.76
2023,6,Aktivitetet e tjera sherbyese,,OJQ,GLLOGOC,5,19,16,3,4,15,0,0,0,2,8,2,3,0,2,0,2,0,0,342.97,260.48,368.36
2023,6,Aktivitetet e tjera sherbyese,,OJQ,RAHOVEC,1,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1350,1350,
2023,6,Aktivitetet e tjera sherbyese,,Individual,SHTËRPCË,2,2,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,182.5,182.5,
2023,6,Aktivitetet e tjera sherbyese,, Odat,PRISHTINË,2,91,46,45,50,41,0,3,1,10,16,15,7,12,11,5,6,5,0,448.87,398.72,510.03
2023,6,Aktivitetet e tjera sherbyese,,Agjension i Huaj Qeveritar,PRISHTINË,1,7,7,0,4,3,0,0,0,0,0,3,1,1,1,0,1,0,0,400,400,400
2023,6,Aktivitetet e tjera sherbyese,,SH.P.K.,SKENDERAJ,2,5,4,1,4,1,0,0,0,4,0,0,0,0,1,0,0,0,0,244,255,200
2023,6,Akomodimi dhe sherbimi ushqimor,,SH.P.K.,KLINË,28,104,103,1,66,37,1,22,9,23,10,12,8,8,9,1,1,0,0,284.71,289.7,278.09
2023,6,Akomodimi dhe sherbimi ushqimor,,Ortakëria e përgj.,DRAGASH,1,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,300,300,
2023,6,Akomodimi dhe sherbimi ushqimor,,SH.P.K.,KLLOKOT,3,27,27,0,15,12,0,3,4,5,3,5,2,1,2,1,1,0,0,248.09,282.7,204.83
2023,6,Akomodimi dhe sherbimi ushqimor,,Ortakëria e përgj.,SUHAREKË,1,8,7,1,7,1,0,2,0,0,1,2,0,3,0,0,0,0,0,348.75,341.43,400
2023,6,Akomodimi dhe sherbimi ushqimor,,Individual,PRISHTINË,277,1258,"1,239",19,849,396,13,245,78,265,77,213,93,76,103,45,44,5,1,293.55,287.95,301.27
2023,6,Akomodimi dhe sherbimi ushqimor,,Kompani e huaj,PRISHTINË,1,25,25,0,9,16,0,3,0,1,3,4,9,1,2,0,2,0,0,735.16,767.36,717.05
2023,6,Akomodimi dhe sherbimi ushqimor,,Individual,SKENDERAJ,38,83,82,1,56,27,0,16,3,18,9,17,10,4,3,0,2,1,0,236.82,239.02,232.24
2023,6,Akomodimi dhe sherbimi ushqimor,,Individual,FUSHË KOSOVË,45,148,145,3,109,33,6,34,2,39,8,22,14,8,7,4,2,2,0,255.05,265.05,230.17
2023,6,"Artet, Argetimi dhe rekreacioni",,SH.P.K.,KAMENICË,3,13,13,0,11,2,0,2,0,2,0,2,2,4,0,1,0,0,0,228.07,233.17,200
2023,6,"Artet, Argetimi dhe rekreacioni",,Ortakëria e përgj.,SUHAREKË,1,3,3,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,500,500,500
2023,6,"Artet, Argetimi dhe rekreacioni",,SH.P.K.,VUSHTRRI,7,18,17,1,16,2,0,3,1,7,0,3,0,2,1,1,0,0,0,259.88,261.14,249.79
2023,6,"Artet, Argetimi dhe rekreacioni",,SH.P.K.,MITROVICË,7,25,25,0,14,11,0,1,4,7,2,6,3,0,2,0,0,0,0,273.69,259.03,292.34
2023,6,"Artet, Argetimi dhe rekreacioni",,SH.P.K.,PRISHTINË,118,810,713,97,477,328,5,144,138,161,95,104,59,42,28,25,8,1,0,787.17,999.84,485.05
2023,6,"Artet, Argetimi dhe rekreacioni",,SH.P.K.,FUSHË KOSOVË,18,45,36,9,31,14,0,8,5,13,5,8,4,2,0,0,0,0,0,299.22,320.62,251.84
2023,6,Bujqesia;Pylltaria dhe Peshkimi,,SH.P.K.,VUSHTRRI,15,271,271,0,132,139,0,17,38,40,30,43,43,19,23,11,4,2,1,542.73,676.56,415.64
2023,6,Bujqesia;Pylltaria dhe Peshkimi,,SH.P.K.,MITROVICË VERIORE,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,,
2023,6,Aktivitetet financiare dhe te sigurimit,,Individual,PEJË,3,5,5,0,3,2,0,0,0,1,0,1,1,0,1,1,0,0,0,271.63,276.67,264.08
2023,6,Aktivitetet financiare dhe te sigurimit,,Ortakëria e përgj.,PEJË,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200,200,
2023,6,Aktivitetet financiare dhe te sigurimit,,SH.P.K.,VITI,6,14,14,0,9,5,0,2,1,4,2,0,1,1,1,2,0,0,0,313.57,321.11,300
2023,6,Aktivitetet financiare dhe te sigurimit,,SH.P.K.,LIPJAN,1,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,170,170,170
2023,6,Aktivitetet financiare dhe te sigurimit,,Individual,DRAGASH,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,265,,265
2023,6,Aktivitetet financiare dhe te sigurimit,,OJQ,GJAKOVË,4,31,19,12,28,3,0,2,0,7,1,3,1,7,1,8,0,1,0,648.51,631.17,810.33
2023,6,Aktivitetet financiare dhe te sigurimit,,SH.P.K.,MITROVICË,3,8,8,0,3,5,0,2,1,1,2,0,2,0,0,0,0,0,0,209.81,193.86,219.38
2023,6,Aktivitetet financiare dhe te sigurimit,,Organizata Buxhetore,PRISHTINË,3,249,238,11,115,134,0,0,0,16,37,51,52,35,26,7,16,6,3,1503.08,1580.73,1436.44
2023,6,Aktivitetet financiare dhe te sigurimit,,Individual,SKENDERAJ,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,270,270,
2023,6,Sherbimet administrative dhe mbeshtetese,,Shoqëri akcionare,PEJË,2,29,25,4,22,7,0,0,0,1,0,8,1,5,2,7,4,1,0,364.14,393.52,271.83
2023,6,Sherbimet administrative dhe mbeshtetese,,SH.P.K.,ISTOG,5,16,16,0,14,2,0,2,0,7,2,2,0,1,0,2,0,0,0,263.81,262.21,275
2023,6,Sherbimet administrative dhe mbeshtetese,,Individual,ISTOG,3,4,4,0,3,1,0,1,0,0,0,2,1,0,0,0,0,0,0,311.72,354.67,182.89
2023,6,Sherbimet administrative dhe mbeshtetese,,Individual,OBILIQ,1,4,4,0,2,2,0,0,0,0,0,0,1,0,1,2,0,0,0,252.59,170,335.18
2023,6,Sherbimet administrative dhe mbeshtetese,,SH.P.K.,DRAGASH,1,22,22,0,14,8,0,4,6,3,0,2,1,5,1,0,0,0,0,442.35,448.96,430.79
2023,6,Sherbimet administrative dhe mbeshtetese,,Individual,DRAGASH,4,12,12,0,9,3,0,3,0,1,1,2,0,2,0,1,2,0,0,360.75,364.33,350
2023,6,Sherbimet administrative dhe mbeshtetese,,SH.P.K.,KAMENICË,7,54,52,2,46,8,0,4,1,10,4,17,1,8,1,5,1,2,0,385.72,390.32,361.59
2023,6,Sherbimet administrative dhe mbeshtetese,,Individual,GRAÇANICË,1,4,4,0,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,353.32,404.42,200
2023,6,"Aktivitetet profesionale, shkencore dhe teknike",,Ortakëria e përgj.,GJILAN,1,6,6,0,3,3,0,1,0,1,2,0,0,1,0,0,1,0,0,325,350,300
2023,6,"Aktivitetet profesionale, shkencore dhe teknike",,SH.P.K.,SHTIME,5,11,10,1,7,4,0,0,2,3,2,2,0,1,0,1,0,0,0,362.62,407.51,284.06
2023,6,"Aktivitetet profesionale, shkencore dhe teknike",,SH.P.K.,NOVOBËRDË,3,7,7,0,6,1,0,1,0,3,1,1,0,1,0,0,0,0,0,277.42,260.32,380
2023,5,"Aktivitetet profesionale, shkencore dhe teknike",,Organizata Buxhetore,GJAKOVË,1,10,0,10,8,2,0,0,0,0,0,0,0,0,0,2,1,6,1,87,91.88,67.5
2023,5,"Aktivitetet profesionale, shkencore dhe teknike",,Ortakëria e përgj.,KAMENICË,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170,170,
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,Individual,VITI,21,41,29,12,15,26,0,1,6,4,9,7,4,1,5,1,2,1,0,237.43,304.86,198.54
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,Ortakëria e përgj.,VITI,1,2,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,170,,170
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,SH.P.K.,ISTOG,10,323,296,27,104,219,0,21,48,41,56,21,56,8,43,10,15,3,1,549.48,602.23,524.42
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,Individual,SHTIME,10,14,13,1,2,12,0,0,2,0,2,1,7,1,0,0,1,0,0,276.76,185,292.05
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,SH.P.K.,MALISHEVË,11,37,19,18,22,15,0,1,5,6,3,8,6,6,1,1,0,0,0,190.32,178.36,207.86
2023,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,,SH.P.K.,FUSHË KOSOVË,38,175,133,42,74,95,6,3,25,21,35,22,22,13,8,13,4,2,1,518.88,649.43,427.36
2023,5,"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",,SH.P.K.,VITI,1,3,1,2,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,347.29,347.29,
2023,5,"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",,Shoqëri akcionare,FUSHË KOSOVË,1,5,4,1,4,1,0,0,0,0,0,1,1,3,0,0,0,0,0,295.57,287.43,328.15
2023,5,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,,OJQ,GJAKOVË,9,58,43,15,14,44,0,1,3,3,8,2,7,2,11,4,10,2,5,562.89,348.1,638.07
2023,5,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,,Shoqatë,PRISHTINË,1,194,189,5,131,60,3,10,3,26,19,54,24,25,9,14,4,2,1,734.98,748.35,715.96
2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Ortakëria e përgj.,GJAKOVË,2,3,3,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,190,200,185
2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Individual,GLLOGOC,182,487,477,10,301,182,4,65,48,108,49,88,37,25,36,14,12,1,0,297.16,317.56,265.63
2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Individual,SHTËRPCË,18,28,25,3,17,11,0,1,1,6,2,4,6,2,1,4,0,0,1,204.51,199.71,211.94
2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,SH.P.K.,SKENDERAJ,58,566,550,16,378,184,4,95,51,129,60,95,40,42,26,17,7,0,0,451.77,493.29,370.34
2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Individual,MITROVICË VERIORE,10,13,13,0,4,9,0,0,2,1,0,1,4,2,3,0,0,0,0,210.31,225,203.78
2023,5,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,,SH.P.K.,KLINË,2,6,6,0,6,0,0,1,0,1,0,3,0,0,0,1,0,0,0,353.33,353.33,
2023,5,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,,SH.P.K.,LIPJAN,6,48,48,0,38,10,0,7,1,5,3,7,3,9,3,8,0,2,0,413.59,377.63,550.22
2023,5,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,,Shoqëri akcionare,PRISHTINË,2,1404,"1,397",7,1220,183,1,29,4,168,29,286,74,359,47,369,29,9,0,670.54,674.2,646.08
2023,5,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,,SH.P.K.,HANI I ELEZIT,1,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,400,400,
2023,5,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,,Individual,HANI I ELEZIT,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,250,250,
2023,6,Arsimi,,Individual,PEJË,17,82,72,10,22,59,1,0,5,8,24,5,8,2,12,6,10,1,0,205.07,191.82,209.25
2023,6,Arsimi,,SH.P.K.,VITI,6,37,32,5,15,22,0,1,4,4,11,2,4,6,3,2,0,0,0,204.67,154.75,238.71
2023,6,Arsimi,,Ortakëria e përgj.,LIPJAN,1,273,257,16,56,187,30,5,23,27,100,12,31,8,20,3,13,1,0,443.52,472.92,398.58
2023,6,Arsimi,,SH.P.K.,KAÇANIK,2,8,5,3,5,3,0,0,0,1,3,3,0,0,0,1,0,0,0,132.5,128,140
2023,6,Arsimi,,Individual,PRIZREN,34,116,96,20,50,65,1,1,3,15,28,17,17,9,12,8,5,0,0,202.06,182.86,213.04
2023,6,Arsimi,,SH.P.K.,GRAÇANICË,1,25,25,0,4,21,0,0,4,2,12,2,1,0,2,0,2,0,0,600.73,1685,394.21
2023,6,Arsimi,,Individual,PRISHTINË,61,453,422,31,58,391,4,7,53,14,123,16,116,9,68,10,27,2,4,348.13,317.61,352.26
2023,6,Ndertimtaria,,Individual,PEJË,45,157,149,8,105,51,1,22,8,43,13,21,13,10,13,8,4,1,0,309.2,323.05,280.77
2023,6,Ndertimtaria,,SH.P.K.,MAMUSHË,2,15,15,0,13,2,0,5,0,5,0,2,2,1,0,0,0,0,0,273.33,276.92,250
2023,6,Person Fizik,,Person fizik,LIPJAN,10,44,38,6,31,13,0,0,0,13,6,8,4,5,0,4,3,1,0,324.5,347.93,268.62
2023,6,Person Fizik,,Person fizik,SHTIME,2,4,4,0,1,3,0,0,1,1,0,0,1,0,1,0,0,0,0,258.25,200,277.67
2023,6,Person Fizik,,Person fizik,KLLOKOT,1,6,6,0,4,2,0,2,0,1,1,1,0,0,0,0,1,0,0,191.67,193.75,187.5
2023,6,Mungon aktiviteti,,Zyrë ndërlidhëse,PRIZREN,1,5,5,0,2,3,0,0,0,0,1,1,1,1,1,0,0,0,0,1233.4,1302.5,1187.33
2023,6,Industria nxjerrese,,SH.P.K.,FUSHË KOSOVË,1,4,3,1,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,644.04,644.04,
2023,6,Industria perpunuese,,SH.P.K.,KLINË,52,356,346,10,284,72,0,49,17,99,23,70,13,45,18,21,1,0,0,454.57,478.34,360.82
2023,6,Industria perpunuese,,Ortakëria e përgj.,FERIZAJ,3,16,16,0,10,6,0,1,1,2,1,3,0,3,4,1,0,0,0,254.62,224.7,304.5
2023,6,Industria perpunuese,,Individual,RAHOVEC,83,313,308,5,224,88,1,56,11,61,25,50,25,30,18,26,9,1,0,270.16,288.37,224.25
2023,6,Industria perpunuese,,Individual,GRAÇANICË,15,120,118,2,87,33,0,11,5,32,10,24,9,13,7,6,2,1,0,465.64,534.88,283.12
2023,6,Industria perpunuese,,SH.P.K.,ZUBIN POTOK,2,29,27,2,3,26,0,0,0,1,3,0,4,1,3,0,15,1,1,174.82,191.31,172.92
2023,6,Informimi dhe komunikimi,,SH.P.K.,KAÇANIK,2,5,5,0,3,2,0,0,1,3,1,0,0,0,0,0,0,0,0,789.05,558.36,1135.09
2023,6,Informimi dhe komunikimi,,SH.P.K.,SHTËRPCË,2,26,25,1,22,4,0,0,0,10,0,8,4,3,0,1,0,0,0,445.57,480.16,255.32
2023,6,Informimi dhe komunikimi,,SH.P.K.,SUHAREKË,10,61,60,1,50,11,0,6,1,23,6,11,2,8,1,2,1,0,0,480.45,478.85,487.71
2023,6,Informimi dhe komunikimi,,SH.P.K.,MITROVICË,30,211,198,13,102,108,1,18,46,49,32,29,21,3,7,2,2,1,0,597.15,696.97,503.5
2023,6,Transporti dhe magazinimi,,SH.P.K.,SHTIME,5,12,12,0,10,2,0,1,0,4,1,3,0,1,0,1,1,0,0,269.67,286.61,185
2023,6,Transporti dhe magazinimi,,SH.P.K.,RAHOVEC,11,44,43,1,41,3,0,4,0,7,1,9,0,11,1,10,1,0,0,395.7,399.56,342.94
2023,6,Transporti dhe magazinimi,,SH.P.K.,NOVOBËRDË,2,3,3,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,250,250,
2023,6,Transporti dhe magazinimi,,Individual,FUSHË KOSOVË,12,41,41,0,35,6,0,7,2,8,3,7,1,10,0,3,0,0,0,392.98,408.01,305.33
2023,6,Aktivitetet e patundshmerise,,Individual,GJAKOVË,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,200,,200
