Viti Godina Year,"Muaji 
Mesec
Month","PERSHKRIMI I SEKTORIT
OPIS SEKTORA
SECTOR DESCRIPTION",,"Statusi i regjistrimit 
Status registracije Registration status",Komuna Opstina Municipality,"Nr Tatimp 
Poreski obveznik 
Number of Taxpayers","Nr Puns
Broj zaposlenih 
Number of  employees",Primar Primarna Primary,Sekondar Sekundarna Secondary,"Meshkuj
Muskarci 
Men (M).","Femra
Zenske
Women (F)","Pa Verif 
Neprovereno 
Unverified",M 15-24,F 15-24,M 25-34,F 25-34,M 35-44,F 35-44,M 45-54,F 45-54,M 55-64,F 55-64,M 65+,F 65+,"Mesat. Pages
Prosecna plata
Average Wage","Mesat. Meshk 
Prosecni M.
Average M.","Mesat. Fem.
Prosecni F. Average F."
2023,1,Akomodimi dhe sherbimi ushqimor,,Individual,PEJË,160,431,426,5,313,116,2,86,13,101,22,62,33,41,36,22,12,1,0,235.74,235.03,237.4
2023,1,Akomodimi dhe sherbimi ushqimor,,Individual,ZVEÇAN,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200,200,
2023,1,"Artet, Argetimi dhe rekreacioni",,Individual,DEÇAN,2,3,3,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,215.8,215.8,
2023,1,"Artet, Argetimi dhe rekreacioni",,Individual,ISTOG,2,2,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,494.42,,494.42
2023,1,"Artet, Argetimi dhe rekreacioni",,OJQ,GJAKOVË,4,19,18,1,17,2,0,11,2,3,0,1,0,0,0,0,0,2,0,291.91,308.6,150
2023,1,"Artet, Argetimi dhe rekreacioni",,SH.P.K.,GLLOGOC,2,4,4,0,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,403.14,500,306.28
2023,1,"Artet, Argetimi dhe rekreacioni",,OJQ,PRISHTINË,2,19,19,0,17,2,0,5,0,4,1,5,1,1,0,1,0,1,0,658.22,665.94,592.68
2023,1,"Artet, Argetimi dhe rekreacioni",,Shoqëri akcionare,PRISHTINË,1,14,14,0,9,5,0,0,0,1,3,1,2,5,0,2,0,0,0,429.24,422.64,441.12
2023,1,Bujqesia;Pylltaria dhe Peshkimi,,Individual,GJILAN,14,23,19,4,11,12,0,0,0,2,4,3,0,1,3,4,5,1,0,211.74,250,176.67
2023,1,Bujqesia;Pylltaria dhe Peshkimi,,Individual,PARTESH,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,,30
2023,1,Bujqesia;Pylltaria dhe Peshkimi,,Individual,VUSHTRRI,18,26,23,3,10,16,0,2,1,2,5,5,2,1,5,0,3,0,0,218.52,254.11,203.27
2023,1,Bujqesia;Pylltaria dhe Peshkimi,,SH.P.K.,GRAÇANICË,4,23,23,0,16,7,0,2,2,3,3,4,0,5,1,2,1,0,0,616.13,754.01,340.36
2023,1,Bujqesia;Pylltaria dhe Peshkimi,,SH.P.K.,HANI I ELEZIT,1,2,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,225,300,150
2023,1,Aktivitetet financiare dhe te sigurimit,,OJQ,PEJË,1,256,253,3,173,83,0,3,7,57,42,77,23,23,6,13,4,0,1,1106.06,1200.57,909.05
2023,1,Aktivitetet financiare dhe te sigurimit,,Tjeter,PRISHTINË,1,13,8,5,8,5,0,0,0,1,2,6,1,1,2,0,0,0,0,1164.81,1105.61,1259.53
2023,1,Sherbimet administrative dhe mbeshtetese,,SH.P.K.,SUHAREKË,15,43,38,5,36,6,1,6,1,13,4,10,1,4,0,3,0,0,0,575.62,485.7,289.28
2023,1,Sherbimet administrative dhe mbeshtetese,,Individual,VUSHTRRI,10,14,13,1,9,5,0,0,0,4,1,3,2,1,1,1,1,0,0,207.52,202.5,215.54
2023,1,Sherbimet administrative dhe mbeshtetese,,Shoqëri akcionare,SKENDERAJ,1,39,36,3,22,17,0,2,1,5,1,8,3,5,8,2,4,0,0,285.9,318.18,244.12
2023,1,Sherbimet administrative dhe mbeshtetese,,SH.P.K.,HANI I ELEZIT,2,12,12,0,12,0,0,0,0,6,0,4,0,2,0,0,0,0,0,510.82,510.82,
2023,1,"Aktivitetet profesionale, shkencore dhe teknike",,SH.P.K.,GJILAN,108,410,381,29,283,125,2,20,14,114,70,90,23,35,10,20,8,4,0,522.93,545.14,476.45
2023,1,"Aktivitetet profesionale, shkencore dhe teknike",,Individual,SHTËRPCË,3,7,7,0,3,4,0,1,2,1,0,1,1,0,1,0,0,0,0,269.29,213.33,311.25
2023,1,"Aktivitetet profesionale, shkencore dhe teknike",,Projekt,PRISHTINË,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1261.37,2250,272.73
2023,1,"Aktivitetet profesionale, shkencore dhe teknike",,Kompani e huaj,PRISHTINË,38,640,530,110,270,354,16,58,103,121,140,50,67,30,29,10,15,1,0,1041.29,1201.26,838.05
2023,1,"Aktivitetet profesionale, shkencore dhe teknike",,SH.P.K.,FUSHË KOSOVË,64,272,237,35,182,86,4,18,14,64,41,59,20,21,7,16,4,4,0,516.47,518.43,502.87
2023,1,Aktivitetet e trupave dhe organizatave nderkombetare,,Agjension i Huaj Qeveritar,PEJË,1,164,164,0,89,75,0,3,1,7,4,17,16,34,23,26,31,2,0,962.82,809.58,1144.67
2023,1,Aktivitetet e shendetit te njeriut dhe te punes sociale,,Individual,DEÇAN,10,20,15,5,7,13,0,2,3,2,5,2,1,0,1,1,3,0,0,329.45,400.51,291.19
2023,1,Aktivitetet e shendetit te njeriut dhe te punes sociale,,SH.P.K.,VUSHTRRI,15,54,34,20,16,37,1,0,10,4,15,9,8,2,3,1,1,0,0,246.17,195.3,270.23
2023,1,"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",,SH.P.K.,PRIZREN,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,180,180,
2023,1,"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",,Shoqëri akcionare,MALISHEVË,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,800,800,
2023,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Individual,ISTOG,80,220,217,3,124,95,1,29,12,38,27,25,20,20,25,11,11,1,0,258.69,264.04,251.27
2023,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Individual,JUNIK,13,45,45,0,29,16,0,7,1,7,3,12,3,2,5,1,4,0,0,267.16,280.07,244.55
2023,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Individual,KLINË,93,208,206,2,130,77,1,26,11,52,22,27,17,18,18,6,9,1,0,279.09,288.79,263.23
2023,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Individual,LIPJAN,155,403,392,11,262,139,2,44,36,79,36,56,33,53,22,25,12,5,0,289.11,310.22,250.76
2023,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Ortakëria e përgj.,LIPJAN,1,6,5,1,4,2,0,0,0,1,0,1,1,2,0,0,1,0,0,211.73,185.09,265
2023,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Ortakëria e përgj.,DRAGASH,1,34,34,0,26,7,1,8,0,7,1,6,3,3,2,2,1,0,0,418.89,429.06,385.9
2023,1,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,,SH.P.K.,OBILIQ,3,6,5,1,6,0,0,0,0,3,0,1,0,0,0,2,0,0,0,319.19,319.19,
2023,1,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,,Individual,KLLOKOT,2,11,11,0,10,1,0,0,0,6,0,3,0,1,1,0,0,0,0,450,455,400
2023,2,Arsimi,,Organizata Buxhetore,FERIZAJ,1,6,3,3,6,0,0,0,0,0,0,0,0,2,0,3,0,1,0,199.78,199.78,
2023,2,Arsimi,,Individual,PODUJEVË,16,57,49,8,26,31,0,3,1,8,13,3,4,6,9,6,4,0,0,195.15,203.96,187.77
2023,2,Arsimi,,SH.P.K.,VUSHTRRI,13,89,63,26,39,48,2,2,4,11,18,6,13,8,11,12,1,0,1,272.67,252.98,283.29
2023,2,Arsimi,,Ortakëria e përgj.,PRISHTINË,4,23,23,0,9,14,0,0,1,1,2,0,5,2,4,5,2,1,0,260.2,223.98,283.49
2023,2,Arsimi,,SH.P.K.,SKENDERAJ,5,13,11,2,8,5,0,1,0,0,1,4,3,1,1,2,0,0,0,203.05,209.84,192.19
2023,2,Ndertimtaria,,SH.P.K.,VITI,48,162,152,10,145,16,1,23,1,46,9,29,4,35,2,11,0,1,0,268.83,268.05,251.99
2023,2,Ndertimtaria,,SH.P.K.,ISTOG,48,340,329,11,290,49,1,27,9,91,14,72,12,58,11,40,2,2,1,420.93,432.4,354.85
2023,2,Ndertimtaria,,Shoqëri akcionare,ISTOG,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,558.83,558.83,
2023,2,Ndertimtaria,,SH.P.K.,GJILAN,137,775,715,60,667,107,1,80,9,158,40,147,32,169,22,101,3,12,1,371.57,378.9,327.51
2023,2,Ndertimtaria,,SH.P.K.,OBILIQ,17,195,186,9,167,26,2,19,1,65,13,55,7,19,2,7,3,2,0,739.99,726.13,853.58
2023,2,Ndertimtaria,,SH.P.K.,RAHOVEC,39,228,222,6,187,41,0,25,9,59,13,47,10,39,9,16,0,1,0,410.81,396.7,475.15
2023,2,Ndertimtaria,,Shoqëri akcionare,VUSHTRRI,1,19,17,2,11,8,0,3,0,2,1,3,3,2,2,1,2,0,0,558.04,562.65,551.71
2023,2,Ndertimtaria,,Ortakëria e përgj.,MITROVICË,1,18,18,0,18,0,0,1,0,5,0,6,0,2,0,4,0,0,0,507.06,507.06,
2023,2,Person Fizik,,Person fizik,GJILAN,23,50,48,2,34,15,1,5,1,14,5,8,4,3,4,4,1,0,0,382.14,362.43,439.3
2023,2,Mungon aktiviteti,,Kompani e huaj,PEJË,2,17,17,0,13,4,0,1,0,2,2,4,1,3,1,3,0,0,0,394.12,415.38,325
2023,2,Mungon aktiviteti,,OJQ,VITI,1,5,2,3,2,3,0,0,0,0,0,1,0,0,0,0,3,1,0,144,150,140
2023,2,Mungon aktiviteti,,OJQ,DEÇAN,5,17,10,7,5,12,0,0,0,0,3,3,5,0,2,2,2,0,0,377.74,253.08,429.68
2023,2,Mungon aktiviteti,,OJQ,KLINË,5,23,21,2,8,14,1,1,2,2,1,1,5,3,5,1,1,0,0,362.62,385.19,354.2
2023,2,Mungon aktiviteti,,Organizata Buxhetore,VUSHTRRI,1,9,1,8,6,3,0,0,0,0,0,0,0,0,0,0,1,6,2,108.33,90,145
2023,2,Mungon aktiviteti,,OJQ,PRISHTINË,10,183,107,76,70,105,8,3,13,14,55,19,23,20,12,12,2,2,0,556.04,471.32,608.96
2023,2,Industria nxjerrese,,SH.P.K.,KAÇANIK,5,57,54,3,55,2,0,9,0,14,0,19,2,6,0,5,0,2,0,551.73,559.78,330.48
2023,2,Industria nxjerrese,,SH.P.K.,SUHAREKË,1,87,87,0,81,6,0,13,0,25,3,21,2,15,1,7,0,0,0,791.54,749,1365.85
2023,2,Industria nxjerrese,,SH.P.K.,LEPOSAVIQ,1,4,4,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1670,1670,
2023,2,Industria perpunuese,,Individual,GJAKOVË,207,834,816,18,406,424,4,72,76,120,70,87,112,83,124,39,39,5,3,296.31,266.02,325.77
2023,2,Industria perpunuese,,SH.P.K.,PODUJEVË,70,626,614,12,403,220,3,64,50,115,46,97,54,84,60,41,10,2,0,331.97,363.7,274.43
2023,2,Industria perpunuese,,Individual,FUSHË KOSOVË,33,93,91,2,56,37,0,10,8,12,10,20,8,9,6,4,5,1,0,255.69,280.17,218.64
2023,2,Informimi dhe komunikimi,,SH.P.K.,GLLOGOC,8,24,23,1,9,15,0,1,2,3,7,5,4,0,2,0,0,0,0,577.98,919.06,373.33
2023,2,Informimi dhe komunikimi,,Individual,GRAÇANICË,2,3,3,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,165.91,183.86,130
2023,1,Arsimi,,SH.P.K.,VITI,6,37,34,3,14,23,0,1,4,4,12,1,3,6,4,2,0,0,0,206.85,160.92,234.8
2023,1,Arsimi,,SH.P.K.,KLINË,2,5,3,2,3,2,0,0,2,1,0,2,0,0,0,0,0,0,0,194.38,166.99,235.47
2023,1,Arsimi,,SH.P.K.,GJILAN,20,201,178,23,61,139,1,3,22,16,65,13,28,16,16,13,8,0,0,263.28,211.07,284.84
2023,1,Arsimi,,Individual,FERIZAJ,20,88,77,11,38,50,0,3,4,11,17,8,14,7,10,9,4,0,1,192.56,163.21,214.86
2023,1,Ndertimtaria,,Individual,JUNIK,1,4,4,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,314.08,314.08,
2023,1,Ndertimtaria,,Individual,FERIZAJ,70,402,389,13,337,64,1,52,5,95,14,78,19,64,19,47,7,1,0,291.23,297.64,257.63
2023,1,Ndertimtaria,,SH.P.K.,KAÇANIK,31,231,223,8,200,30,1,20,4,55,10,60,9,40,5,22,2,3,0,358.78,367.08,309.7
2023,1,Ndertimtaria,,Ndërmarrje shoq.,PODUJEVË,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,443.23,,443.23
2023,1,Ndertimtaria,,SH.P.K.,HANI I ELEZIT,10,102,99,3,97,4,1,18,1,30,1,37,2,9,0,3,0,0,0,430.28,424.16,414.71
2023,1,Person Fizik,,Person fizik,RAHOVEC,8,31,30,1,26,5,0,8,0,5,3,8,1,4,1,1,0,0,0,334.9,341.4,301.07
2023,1,Person Fizik,,Person fizik,SKENDERAJ,8,17,17,0,9,8,0,2,0,5,3,1,1,0,3,1,1,0,0,249.41,272.22,223.75
2023,1,Mungon aktiviteti,,Individual,PEJË,2,3,3,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,444.03,444.03,
2023,1,Mungon aktiviteti,,Individual,VITI,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,200,,200
2023,1,Industria nxjerrese,,SH.P.K.,LIPJAN,2,11,9,2,10,0,1,0,0,1,0,5,0,2,0,2,0,0,0,385.03,398.53,
2023,1,Industria perpunuese,,Individual,PEJË,171,809,796,13,476,332,1,72,51,153,70,115,87,87,93,46,29,3,2,299.92,339.69,243.42
2023,1,Industria perpunuese,,SH.P.K.,VITI,73,767,739,28,561,204,2,83,30,172,54,120,59,105,50,75,11,6,0,364.89,384.71,310.8
2023,1,Industria perpunuese,,SH.P.K.,ISTOG,49,779,764,15,507,271,1,83,74,120,73,109,62,102,46,84,16,9,0,466.12,534.98,339.5
2023,1,Industria perpunuese,,Shoqëri akcionare,ISTOG,2,15,13,2,13,2,0,4,0,7,1,0,0,0,0,2,1,0,0,856.41,901.29,564.68
2023,1,Industria perpunuese,,Shoqëri akcionare,GJILAN,2,48,48,0,37,10,1,4,3,6,1,6,1,8,5,12,0,1,0,465.53,438.29,564
2023,1,Industria perpunuese,,Ortakëria e përgj.,GJAKOVË,3,37,33,4,30,7,0,3,2,11,3,9,0,2,1,5,1,0,0,521.22,535.65,459.4
2023,1,Industria perpunuese,,SH.P.K.,MAMUSHË,9,140,134,6,107,33,0,14,13,29,6,26,4,25,9,13,1,0,0,638.38,731.06,337.88
2023,1,Industria perpunuese,,Individual,RAHOVEC,80,298,293,5,216,81,1,47,6,64,23,47,25,32,18,25,9,1,0,272.55,292.06,221.06
2023,1,Industria perpunuese,,SH.P.K.,MITROVICË,61,928,913,15,534,392,2,125,118,178,93,125,89,76,66,22,26,8,0,395.2,429.9,348.04
2023,1,Industria perpunuese,,Shoqëri akcionare,MITROVICË,2,111,111,0,101,10,0,7,0,28,5,17,2,27,2,18,1,4,0,558.33,558.6,555.61
2023,1,Industria perpunuese,,Individual,FUSHË KOSOVË,32,92,90,2,56,36,0,10,9,12,10,20,8,9,6,4,3,1,0,256.3,280.17,219.16
2023,1,Informimi dhe komunikimi,,Kompani e huaj,PEJË,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
2023,1,Informimi dhe komunikimi,,SH.P.K.,KAÇANIK,2,5,5,0,3,2,0,0,1,3,1,0,0,0,0,0,0,0,0,770.1,525.61,1136.84
2023,1,Informimi dhe komunikimi,,SH.P.K.,MALISHEVË,4,52,47,5,22,29,1,5,8,8,7,5,7,2,5,2,1,0,1,526.96,706.45,395.66
2023,1,Transporti dhe magazinimi,,Individual,JUNIK,1,5,5,0,2,3,0,0,0,1,2,1,0,0,0,0,1,0,0,170,170,170
2023,1,Transporti dhe magazinimi,,Individual,KLINË,3,7,7,0,5,2,0,0,0,2,0,1,2,1,0,1,0,0,0,292.69,329.77,200
2023,1,Transporti dhe magazinimi,,SH.P.K.,FERIZAJ,45,290,278,12,236,54,0,28,10,59,21,58,14,50,6,36,2,5,1,328.78,334.31,304.6
2023,1,Transporti dhe magazinimi,,Shoqëri akcionare,KAÇANIK,1,6,4,2,6,0,0,0,0,0,0,1,0,1,0,4,0,0,0,275.38,275.38,
2023,1,Transporti dhe magazinimi,,Individual,PODUJEVË,32,141,138,3,117,24,0,6,3,27,5,37,9,22,6,22,1,3,0,275.8,270.5,301.64
2023,1,Transporti dhe magazinimi,,SH.P.K.,MALISHEVË,4,12,12,0,11,1,0,4,0,2,0,3,0,1,1,1,0,0,0,305.56,318.75,200
2023,1,Transporti dhe magazinimi,,SH.P.K.,MITROVICË,15,63,61,2,58,5,0,8,0,14,1,19,2,11,2,6,0,0,0,306.52,305.95,313.23
2023,1,Transporti dhe magazinimi,,SH.P.K.,NOVOBËRDË,2,3,3,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,250,250,
2023,1,Transporti dhe magazinimi,,Individual,PRISHTINË,49,304,291,13,242,61,1,31,10,57,20,64,13,48,12,36,6,6,0,295.75,275.29,378.22
2023,1,Transporti dhe magazinimi,,Individual,SKENDERAJ,10,47,47,0,42,5,0,3,0,9,1,17,3,8,1,5,0,0,0,238.48,241.02,217.16
2023,1,Transporti dhe magazinimi,,Individual,ZUBIN POTOK,1,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,328.15,328.15,
2023,1,Aktivitetet e patundshmerise,,SH.P.K.,FERIZAJ,13,53,46,7,30,22,1,4,2,5,12,5,3,10,3,6,2,0,0,602.28,738.61,407.73
2023,1,Aktivitetet e tjera sherbyese,,Individual,PEJË,108,177,173,4,75,102,0,23,13,18,32,22,41,9,14,3,1,0,1,225.89,251.45,207.16
2023,1,Aktivitetet e tjera sherbyese,,Individual,VITI,17,29,28,1,13,16,0,1,8,7,4,4,3,1,1,0,0,0,0,201.82,172.5,223.81
2023,1,Aktivitetet e tjera sherbyese,,Organizata Buxhetore,OBILIQ,1,3,0,3,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,333.33,250,500
2023,1,Aktivitetet e tjera sherbyese,,OJQ,GLLOGOC,7,58,54,4,39,19,0,12,0,15,11,6,4,2,2,4,2,0,0,608.81,730.11,366.2
2023,1,Aktivitetet e tjera sherbyese,,Individual,PRIZREN,162,271,266,5,132,137,2,23,26,36,35,35,40,25,31,11,5,2,0,237.39,231.07,244.51
2023,1,Aktivitetet e tjera sherbyese,,Individual,MALISHEVË,11,13,13,0,6,7,0,0,2,3,3,1,0,0,2,2,0,0,0,237.63,224.69,248.71
2023,1,Aktivitetet e tjera sherbyese,,Individual,PRISHTINË,250,510,498,12,172,330,8,30,61,67,109,38,101,23,44,12,14,2,1,239.75,240.99,237.69
2023,1,Akomodimi dhe sherbimi ushqimor,,Ortakëri e kufizuar,KLINË,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,135,135,
2023,1,Akomodimi dhe sherbimi ushqimor,,Individual,GJILAN,79,244,238,6,176,65,3,47,9,64,17,41,19,15,14,8,6,1,0,207.3,192.35,247.83
2023,1,Akomodimi dhe sherbimi ushqimor,,SH.P.K.,OBILIQ,18,167,158,9,120,47,0,23,3,35,6,39,19,19,17,4,2,0,0,346.31,342.63,355.7
2023,1,Akomodimi dhe sherbimi ushqimor,,Individual,GLLOGOC,31,88,85,3,61,27,0,12,3,22,7,16,7,7,8,3,2,1,0,214.74,222.22,197.85
2023,1,Akomodimi dhe sherbimi ushqimor,,SH.P.K.,PRISHTINË,586,5264,"5,019",245,3470,1730,64,1023,535,1313,425,717,366,291,325,121,76,5,3,410.67,423.65,380.93
2023,1,"Artet, Argetimi dhe rekreacioni",,SH.P.K.,PEJË,9,18,17,1,12,6,0,1,1,0,1,7,1,2,3,2,0,0,0,243.31,254.17,221.61
2023,1,"Artet, Argetimi dhe rekreacioni",,Individual,GJILAN,4,55,52,3,53,2,0,17,0,20,1,11,0,3,1,2,0,0,0,33.09,27.36,185
2023,1,"Artet, Argetimi dhe rekreacioni",,Individual,GJAKOVË,12,30,29,1,16,14,0,0,0,5,6,2,3,6,5,3,0,0,0,260.7,256.31,265.71
2023,1,"Artet, Argetimi dhe rekreacioni",,SH.P.K.,KAÇANIK,2,10,10,0,8,2,0,1,0,3,2,1,0,3,0,0,0,0,0,379.64,385.36,356.76
